ko	en
모두 지쳐서 집으로 돌아갔어요.	Everyone got tired and went back home.
집에 도착 후 리딩 테스트 통과했다는 소식이 있으면 좋겟네요.	It'd be nice to come home to the news I've passed the reading test.
백령도에는 콩돌 해수욕장이 있어요.	In Baekryeong-do island, we can find Kong-dol beach.
결혼 한 이후로 지금까지 나는 거의 요리를 하지 않았다.	I've almost never cooked anything so far since I got married.
학교에서 방학했다는 사실 말고는 다 똑같아.	There's nothing different except the fact that it's school holidays.
현명한 판단력이 필요하기 때문이에요.	It's because we need the appropriate judgment.
만약 다시 한번 기회를 주시면 만나 뵙고 싶습니다.	If you give me another chance, I'd like to see you.
그들은 2월 말부터 연구할 예정이에요.	They are going to research from the end of February.
일본에서 직장을 구하는 건 힘든가요?	Is it difficult to find a job in Japan?
대형 기획 가게를 통해 지속해서 리테일 공간확보를 추진하죠.	Lets keep pushing to continue to get retail space via major feature stores.
승강기 안에서는 가만히 있어야 해요.	You should keep still in an elevator.
세 명의 강도에게서 공격을 당했어요.	I was attacked by 3 robbers.
제 계좌 금액에는 변동이 없어요.	There is no change in the amount of my account.
학기가 시작될 때까지 맡겨주세요.	Please keep it until the semester starts.
남과 같이해서는 남을 뛰어넘을 수 없어.	You can't be better than others for doing the same amount as others.
왜냐하면 시험 결과에서 1등을 했기 때문이에요.	Because I got first place in the exam.
한국인은 김치 없이는 못 살 거예요.	Koreans wouldn't live without Kimchi.
프리타타는 한국의 계란찜과 비슷하게 생긴 것 같습니다.	Frittata looks very similar to Korea's steamed egg.
언제나 영원히 당신을 사랑할 준비가 돼 있습니다.	I'm ready to love you forever.
나는 지금 현실적으로 너와 함께 살 수 없다는 것을 잘 알고 있어.	I know well that I practically cannot live with you right now.
결산 검증 활동에 적극적으로 참여해 줘서 고마워요.	I'm grateful for your contributions to the account settling verification process.
대학에 입학한 뒤로 다양한 수업을 수강했습니다.	I took various classes after entering university.
각국의 유명한 팝 아티스트들은 거쳐 가는 곳이라고 해요.	Famous pop artists from all over the world go through this place.
비용을 지급해야 한다면 얼마나 지급해야 하나요?	How much do I have to pay if I have to?
오늘 그가 행사 때문에 여기를 사용하기로 했어요.	He will be using here because of the event today.
감점은 충분히 이해하니, 시험을 볼 기회를 주시면 고맙겠어요.	I get how you're feeling, so please give me the chance to take the test.
나는 내일 한국에 가서 한 달 후에 돌아올 거에요.	I am going to Korea tomorrow and will be back in a month.
당신하고 편하게 대화를 하고 싶어요.	I want to talk to you casually.
나는 수학을 좋아해요, 왜냐하면 영어는 외워야 하기 때문이에요.	I like math because I have to memorize lots of things studying English.
나는 그룹 활동을 통해 책임감과 리더쉽을 배웠어요. 	I learnt responsibility and leadership through group activities.
제주도에서 열리는 민속 5일장입니다.	It is a 5-day folk market that is held in Jeju Island.
평소보다 일찍 일어나서 준비했어요.	I got ready waking up earlier than usual.
다음에 이러한 일이 되풀이되지 않도록 부탁합니다.	Please don't repeat it next time.
애들을 위해 사인이 필요해서 왔어요.	I came because I needed the signature for my children.
당신이 요청한 콘트롤 시스템을 포함한 견적을 보냅니다.	I am sending you an estimate that includes the control system as you requested.
그녀랑 연애하는 동안 너무 행복했어.	I was so happy while I was with her.
우리가 노력한 결과 그 일을 해낼 수 있을 것 같아요.	I think we can achieve it as a result of hard work.
결과적으로 학생들이 배워야 하는 양이 많아집니다.	The amount that students should learn increases as a result.
레스토랑 오픈 준비를 하고 있어요.	We are planning to open a restaurant.
우리가 연락한 지 3주 가까이 돼가고 있는 것 같아요.	I think we've been in touch for almost three weeks.
의사소통 하는 것도 너무 힘들고 공부하는 것도 힘들어.	It's so hard to communicate and study.
경쟁률이 높은 시험 중의 하나입니다.	This is one of the extremely competitive tests.
미국행 비행기로 갈아타고 있어요.	I am transferring to the plane headed for the U.S.
한국 자금 회사들에서 시간을 많이 줄 수 없다고 하네요.	Korean capital companies say they can't give much of their time.
그러나 생각했던 것보다 냄새도 안 나고 맛있었어.	But it was not as smelly as I thought and it was good.
방법은 바다의 제물이 되는 것입니다.	The way is to be a sacrifice for the sea.
나는 지금 당신을 위해 한국어 시험에 대한 정보를 알아보고 있어요.	I am looking for some information about the Korean language test for you now.
마트에서 내가 원하는 펜을 할인받고 살 수 있어요.	I can go get that pen with a discount on that market.
카드를 수령한 후에 배달맨에게 4,000원을 주세요.	Please give the delivery man 4,000 wons after you receive the card.
한 가지 중요한 문제가 있는데 저는 영어를 잘 하지 못해요.	There's a critical issue but I can't speak English well.
그는 당신에게 화나 있는 것 같아요.	He looks angry with you.
2명이 앉을 수 있는 자리가 있나요?	Can I get a table for 2?
이 영어 캠프의 이름은 쎄쎄쎄입니다.	The name of this English camp is #Ssessesse#.
네, 아침마다 개를 데리고 산책해요.	Yes, I take a walk with my dog every morning.
널 보기 위해 친구들과 필리핀 갈 계획을 세운 거다.	I think receiving short compliments when you do something good for the first time is different from your interests.
내가 사는 한국에서 그 곳까지는 스물 여섯 시간이 걸린다.	From where I live, Korea, it takes twenty-six hours to get there.
내 말은, 한 시간 후에 투표만 하고 집에 와서 쉴 거야.	I mean, I will go to the polls an hour later, and come back home right away, and have a rest.
지난 여름 휴가를 태국 푸켓 카 오락으로 갔다.	I went to Phuket Caorak on my last summer vacation.
아마도 이것은 하기 어려울 것입니다.	It would be hard to do it.
네 전화번호가 저장돼 있어서 내 페이스북에 나오더라.	You were on my facebook because your number is saved in my phone.
나는 또한 토론 동아리에도 가입했어.	I have also joined the debate club.
이 문제를 해결하기 위해 답장할게요.	I will give a reply to solve this problem.
너를 만난 후부터 난 멈출 수 없어.	I can not stop after meeting you.
귀중품은 저한테 맡겨 주셔도 돼요.	I also may keep your valuables.
영화가 시작하고 처음 장면이 나의 관심을 끌었어.	The movie started and the first scene caught my attention.
만약 다른 홈스테이가 마음에 들지 않으면 여기로 돌아올게요.	If I don't like the other homestay I will come back here.
휴대폰 개통하는 방법을 찾고 있었어요.	I was looking for how to open a line for my cell phone.
그러나 그러한 데이트를 좀 더 특별하게 만드는 방법이 있습니다.	But, there is a way to make the first date more special.
여자가 사랑하는 남자에게 초콜릿 과자를 주는 날입니다.	This is a day when a woman gives chocolate snacks to her lover.
네, 뭘 선택하든 문제 되지 않아요.	Yes, it doesn't matter.
여학생이 남학생보다 설문지에 대한 참여도가 더 높았다.	The participation rate of female students was higher than that of male students.
축구 경기는 한 곳에서 펼쳐지는 게 아닌가 보죠?	I guess the soccer games are not held in one place, right?
그녀가 입사하는 정확한 날짜는 곧 다시 알려 드리겠습니다.	I will soon inform you of the exact date she starts working.
나이를 먹을수록 머리가 커지고 있다.	The older I am, the bigger my head is.
이 점을 개선해야 하는 두 가지의 이유를 말해 주십시오.	Tell me two reasons why I have to improve this part.
학교에서 정해준 규율에 의존하는 것이 아닙니다.	You shouldn't depend on the rules given by the school.
